Job Role,Skills
Software Engineer,"C, C++, Java, Python, DSA, OOP, Git, SQL, Operating Systems, Computer Networks, REST APIs, Design Patterns, Debugging, Unit Testing, Linux"
Software Developer,"Java, Python, C#, JavaScript, SQL, OOP, Git, REST APIs, MVC, Debugging, Unit Testing, Agile, Linux, CI/CD, Version Control"
Full Stack Developer,"HTML, CSS, JavaScript, React, Node.js, Express, REST APIs, MongoDB, SQL, Git, JWT, Docker, Deployment, API Integration, Debugging"
Frontend Developer,"HTML, CSS, JavaScript, React, TypeScript, Responsive Design, Tailwind, DOM, REST APIs, Git, Web Performance, Accessibility, DevTools, State Management"
Backend Developer,"Java, Python, Node.js, SQL, MongoDB, REST APIs, Authentication, DSA, OOP, Git, Linux, Microservices, Docker, API Security, Debugging"
Web Developer,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, REST APIs, Git, Responsive Design, Hosting, SEO, Debugging, Web Security, CMS, Deployment"
Application Developer,"Java, Kotlin, Swift, C#, OOP, MVC, REST APIs, SQLite, Git, UI Frameworks, Debugging, Unit Testing, SDKs, Deployment, Version Control"
System Programmer,"C, C++, Assembly, Linux Kernel, Memory Management, Multithreading, Process Management, File Systems, OS Internals, GDB, Shell Scripting, Computer Architecture, Networking, Low-level APIs"
Embedded Software Engineer,"C, C++, Embedded C, Microcontrollers, RTOS, ARM, UART, SPI, I2C, Device Drivers, Firmware, Debugging, Embedded Linux, Memory Optimization, Sensors"
Data Scientist,"Python, R, SQL, Pandas, NumPy, Data Cleaning, Visualization, Statistics, Machine Learning, Scikit-learn, Jupyter, Feature Engineering, APIs, Model Evaluation"
Data Analyst,"SQL, Python, Excel, Pandas, NumPy, Data Cleaning, Visualization, Power BI, Tableau, Statistics, Reporting, Dashboards, ETL, Documentation"
Business Intelligence Analyst,"SQL, Power BI, Tableau, Data Warehousing, ETL, Excel, Python, Data Modeling, Reporting, KPI Analysis, Dashboards, OLAP, Business Metrics"
Machine Learning Engineer,"Python, Scikit-learn, TensorFlow, PyTorch, DSA, Machine Learning, Model Deployment, APIs, Feature Engineering, Docker, Git, Linux, Statistics"
AI Engineer,"Python, TensorFlow, PyTorch, Machine Learning, Deep Learning, NLP, Computer Vision, APIs, Deployment, Data Preprocessing, Git, Linux, Optimization"
Deep Learning Engineer,"Python, TensorFlow, PyTorch, Neural Networks, CNN, RNN, Transformers, CUDA, GPU Computing, Data Augmentation, Model Optimization, APIs, Linux"
NLP Engineer,"Python, NLTK, spaCy, Transformers, Tokenization, Text Preprocessing, Word Embeddings, Deep Learning, PyTorch, TensorFlow, APIs, Git"
Computer Vision Engineer,"Python, OpenCV, CNN, Image Processing, TensorFlow, PyTorch, Data Augmentation, Object Detection, Image Classification, Feature Extraction, APIs"
Research Scientist (AI/ML),"Python, R, Machine Learning, Deep Learning, Statistics, Linear Algebra, Probability, Data Analysis, Research Methods, Model Evaluation, Experimentation, Git"
Cybersecurity Engineer,"Python, C, Networking, Linux, Cryptography, Malware Analysis, Security Tools, Scripting, Firewalls, IDS/IPS, Vulnerability Analysis, Incident Response"
Information Security Analyst,"Python, SQL, Linux, Networking, SIEM, Vulnerability Management, Risk Assessment, Incident Response, Security Monitoring, Log Analysis"
Ethical Hacker,"Python, Bash, Networking, Linux, Penetration Testing, Web Security, SQL Injection, Scripting, Exploit Development, Cryptography, OSINT"
Penetration Tester,"Python, Bash, Linux, Networking, Metasploit, Web Security, SQL Injection, Exploit Writing, Vulnerability Scanners, OSINT"
SOC Analyst,"Python, SIEM, Log Analysis, Linux, Networking, Incident Response, Malware Analysis, Threat Intelligence, Scripting"
